Repository,Commit Hash,Severity_High,Severity_Medium,Severity_Low,Confidence_High,Confidence_Medium,Confidence_Low,CWE_Counts
scrapy,897e124a27772b9a710f501954f50e3c66e27c79,33,31,1300,1345,18,1,"{""703"": 1187, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,8c23da943c5e892515f4fa2eb57229839802010a,23,26,1285,1316,17,1,"{""703"": 1183, ""78"": 62, ""20"": 7, ""259"": 9, ""330"": 34, ""22"": 2, ""327"": 12, ""377"": 1, ""502"": 16, ""319"": 6, ""605"": 2}"
scrapy,8c34e6d9a4994abda0059f76dbbdb64c2e8a9751,33,31,1311,1356,18,1,"{""703"": 1198, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,929d665a74333434c9cede7133ea4f0707dbf9a6,23,26,1281,1312,17,1,"{""703"": 1179, ""78"": 62, ""20"": 7, ""259"": 9, ""330"": 34, ""22"": 2, ""327"": 12, ""377"": 1, ""502"": 16, ""319"": 6, ""605"": 2}"
scrapy,93644f2c30ee74a68584c9e4cdfd0827c2187d34,33,31,1300,1345,18,1,"{""703"": 1187, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,98a57e241879e1b56ef8bffeb8f85f868e91c1e9,33,31,1306,1351,18,1,"{""703"": 1193, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,98ba61256deceba7b04b938a97005258f4ef5c66,33,31,1307,1352,18,1,"{""703"": 1194, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,9bc0029d27d8ed719e2cc2e9077a81450b995b96,33,31,1307,1352,18,1,"{""703"": 1194, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,9d35428770326a3e833a2720c4f641fa70b58d29,33,31,1306,1351,18,1,"{""703"": 1193, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,a195af304d2823cc686fd7354790e52239208d82,33,31,1303,1348,18,1,"{""703"": 1190, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,a898331d14f889c1d4860cf1a364ba28285090a4,33,31,1311,1356,18,1,"{""703"": 1198, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,b042ad255db139adc740cd97047b6607889f9f1c,23,24,1248,1279,15,1,"{""703"": 1146, ""78"": 62, ""20"": 7, ""259"": 9, ""330"": 34, ""22"": 2, ""327"": 10, ""377"": 1, ""502"": 16, ""319"": 6, ""605"": 2}"
scrapy,b10d46d280fbc84f7a1c50e116a1ed828aa286c9,33,31,1306,1351,18,1,"{""703"": 1193, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,b1f9e56693cd2000ddcea922306f726f3e9339af,23,26,1285,1316,17,1,"{""703"": 1183, ""78"": 62, ""20"": 7, ""259"": 9, ""330"": 34, ""22"": 2, ""327"": 12, ""377"": 1, ""502"": 16, ""319"": 6, ""605"": 2}"
scrapy,b70443f2d06b1b0ad8c474fc5e8a424e363bdd81,33,31,1306,1351,18,1,"{""703"": 1193, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,ba30f64268c011387959e939032315b9462da638,23,26,1289,1320,17,1,"{""703"": 1187, ""78"": 62, ""20"": 7, ""259"": 9, ""330"": 34, ""22"": 2, ""327"": 12, ""377"": 1, ""502"": 16, ""319"": 6, ""605"": 2}"
scrapy,ba5df629a2004ca0d919d8b7f0a7f5725448e50a,33,31,1306,1351,18,1,"{""703"": 1193, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,bc1aeeefc970fbd123699e0cb6d8486141bf8418,33,31,1306,1351,18,1,"{""703"": 1193, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,bfcee452b0f90dc3c642604bb77cd37f22ac0af1,23,26,1281,1312,17,1,"{""703"": 1179, ""78"": 62, ""20"": 7, ""259"": 9, ""330"": 34, ""22"": 2, ""327"": 12, ""377"": 1, ""502"": 16, ""319"": 6, ""605"": 2}"
scrapy,c003fc0841367227aff3c2c1192fe60abbd1a458,33,31,1300,1345,18,1,"{""703"": 1187, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,c03fb2abb8c354c56c4e8363fc602d49f956c280,33,31,1306,1351,18,1,"{""703"": 1193, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,c184f12ab5cb6239fc7b2f27ad75be45930dc871,23,26,1289,1320,17,1,"{""703"": 1187, ""78"": 62, ""20"": 7, ""259"": 9, ""330"": 34, ""22"": 2, ""327"": 12, ""377"": 1, ""502"": 16, ""319"": 6, ""605"": 2}"
scrapy,c200458f24a2e55dece5df5c22f39a0d1b4ff341,33,31,1311,1356,18,1,"{""703"": 1198, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,c2832ed1316b25813870a3ef8ebc15473a35d82f,33,31,1300,1345,18,1,"{""703"": 1187, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,c5ed0fd45cfcee15cf59eb92f40c12ca29ecc890,33,31,1303,1348,18,1,"{""703"": 1190, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,c87354cd46afdba35ca104a62b0c2bbfa6bd6f64,33,31,1306,1351,18,1,"{""703"": 1193, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,ca345a3b73904ffd6d2e8ffb17c45ebb69639d26,33,31,1307,1352,18,1,"{""703"": 1194, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
